TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD1,OPP_PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,47,22,25,0.468,2271.0,2033.0,4272.0,0.476,682.0,1827.0,0.373,804.0,1013.0,0.794,497.0,1616.0,2113.0,1326.0,801.0,455.0,254.0,245.0,935.0,869.0,5552.0,131.0,8,20,21,20,11,27,24,25,29,25,27,19,15,27,10,26,24,27,3,30,21,9,28,17,27,21
1610612738,Boston Celtics,48,33,15,0.688,2329.0,1947.0,4314.0,0.451,614.0,1753.0,0.35,690.0,873.0,0.79,508.0,1630.0,2138.0,1167.0,651.0,327.0,208.0,270.0,901.0,781.0,5198.0,-431.0,1,3,4,4,1,19,25,5,9,16,7,4,4,24,13,27,27,8,20,3,5,6,22,27,12,3
1610612751,Brooklyn Nets,48,15,33,0.313,2319.0,1948.0,4014.0,0.485,643.0,1709.0,0.376,870.0,1121.0,0.776,463.0,1596.0,2059.0,1296.0,722.0,401.0,274.0,184.0,929.0,980.0,5409.0,348.0,1,25,27,26,2,20,5,29,19,9,29,27,28,11,2,24,20,25,7,18,27,29,27,3,22,28
1610612766,Charlotte Hornets,44,12,32,0.273,2127.0,1783.0,3842.0,0.464,585.0,1693.0,0.346,779.0,1000.0,0.779,468.0,1470.0,1938.0,1154.0,633.0,367.0,246.0,215.0,842.0,885.0,4930.0,223.0,29,27,25,27,29,2,1,15,4,6,5,14,12,14,3,6,2,6,23,12,19,23,8,14,2,24
1610612741,Chicago Bulls,48,20,28,0.417,2309.0,2159.0,4581.0,0.471,646.0,1912.0,0.338,798.0,1019.0,0.783,526.0,1718.0,2244.0,1391.0,600.0,397.0,236.0,228.0,781.0,858.0,5762.0,177.0,1,21,23,22,6,30,30,20,21,30,2,17,17,18,19,30,30,29,26,17,16,16,1,19,30,23
1610612739,Cleveland Cavaliers,47,38,9,0.809,2256.0,1934.0,4206.0,0.46,633.0,1709.0,0.37,761.0,975.0,0.781,511.0,1532.0,2043.0,1209.0,703.0,351.0,215.0,210.0,874.0,855.0,5262.0,-466.0,8,1,1,1,16,17,21,10,18,9,24,9,9,15,14,16,17,12,11,7,9,26,13,21,15,2
1610612742,Dallas Mavericks,48,26,22,0.542,2309.0,1980.0,4364.0,0.454,632.0,1744.0,0.362,811.0,1048.0,0.774,579.0,1551.0,2130.0,1267.0,654.0,406.0,220.0,281.0,917.0,915.0,5403.0,-158.0,1,9,13,13,6,25,28,7,16,15,19,20,20,10,29,18,26,23,19,19,12,4,25,10,21,8
1610612743,Denver Nuggets,47,28,19,0.596,2276.0,2048.0,4400.0,0.465,654.0,1833.0,0.357,719.0,932.0,0.771,546.0,1460.0,2006.0,1402.0,641.0,425.0,249.0,227.0,916.0,819.0,5469.0,-190.0,8,7,7,7,9,28,29,16,26,26,12,6,7,9,24,2,9,30,22,21,20,17,24,26,25,7
1610612765,Detroit Pistons,47,23,24,0.489,2276.0,1928.0,4129.0,0.467,649.0,1739.0,0.373,828.0,1076.0,0.77,473.0,1517.0,1990.0,1197.0,679.0,451.0,220.0,239.0,839.0,952.0,5333.0,73.0,8,18,18,19,9,15,15,17,24,13,26,22,22,8,5,12,8,10,17,29,12,11,7,5,18,19
1610612744,Golden State Warriors,47,24,23,0.511,2261.0,1901.0,4141.0,0.459,628.0,1762.0,0.356,798.0,1022.0,0.781,497.0,1613.0,2110.0,1234.0,690.0,356.0,280.0,242.0,817.0,914.0,5228.0,-10.0,8,14,15,15,15,10,18,9,14,18,11,17,19,16,10,25,23,17,15,9,29,10,3,11,13,14
1610612745,Houston Rockets,46,32,14,0.696,2223.0,1818.0,4029.0,0.451,579.0,1612.0,0.359,761.0,1021.0,0.745,497.0,1477.0,1974.0,1039.0,716.0,361.0,270.0,233.0,923.0,906.0,4976.0,-262.0,19,4,3,3,21,3,7,4,3,2,14,9,18,1,10,7,5,1,9,11,25,14,26,13,3,6
1610612754,Indiana Pacers,46,26,20,0.565,2218.0,1932.0,4085.0,0.473,600.0,1689.0,0.355,819.0,1055.0,0.776,511.0,1523.0,2034.0,1199.0,672.0,351.0,212.0,238.0,851.0,880.0,5283.0,-48.0,19,9,10,11,22,16,10,22,6,5,9,21,21,12,14,14,15,11,18,7,8,12,11,15,16,13
1610612746,LA Clippers,47,27,20,0.574,2266.0,1825.0,4040.0,0.452,614.0,1795.0,0.342,769.0,1003.0,0.767,469.0,1513.0,1982.0,1175.0,729.0,447.0,219.0,214.0,831.0,869.0,5033.0,-152.0,8,8,10,10,13,6,8,6,9,22,3,11,13,6,4,10,7,9,6,27,10,24,5,17,6,9
1610612747,Los Angeles Lakers,45,26,19,0.578,2165.0,1908.0,4027.0,0.474,604.0,1669.0,0.362,651.0,831.0,0.783,495.0,1462.0,1957.0,1238.0,621.0,359.0,188.0,219.0,878.0,721.0,5071.0,60.0,26,9,7,8,27,12,6,23,8,3,18,2,2,19,9,4,3,18,24,10,2,21,15,29,9,18
1610612763,Memphis Grizzlies,47,31,16,0.66,2256.0,1950.0,4323.0,0.451,646.0,1857.0,0.348,887.0,1176.0,0.754,555.0,1468.0,2023.0,1231.0,762.0,443.0,270.0,287.0,983.0,1000.0,5433.0,-361.0,8,6,5,6,16,21,26,3,21,28,6,29,29,2,25,5,11,15,5,24,25,3,29,2,24,4
1610612748,Miami Heat,46,23,23,0.5,2243.0,1904.0,4116.0,0.463,630.0,1755.0,0.359,655.0,834.0,0.785,513.0,1589.0,2102.0,1249.0,646.0,339.0,233.0,174.0,817.0,730.0,5093.0,-7.0,19,18,15,17,19,11,13,12,15,17,13,3,3,20,17,23,22,20,21,6,15,30,3,28,10,15
1610612749,Milwaukee Bucks,45,26,19,0.578,2165.0,1819.0,4050.0,0.449,620.0,1763.0,0.352,754.0,946.0,0.797,482.0,1548.0,2030.0,1143.0,593.0,336.0,169.0,229.0,843.0,837.0,5012.0,-141.0,26,9,7,8,27,4,9,2,12,19,8,8,8,29,8,17,14,4,27,5,1,15,10,23,5,10
1610612750,Minnesota Timberwolves,47,26,21,0.553,2266.0,1879.0,4139.0,0.454,595.0,1725.0,0.345,715.0,918.0,0.779,533.0,1491.0,2024.0,1150.0,702.0,434.0,219.0,227.0,888.0,848.0,5068.0,-130.0,8,9,12,12,13,7,17,8,5,11,4,5,6,13,21,9,12,5,12,23,10,17,17,22,8,11
1610612740,New Orleans Pelicans,48,12,36,0.25,2314.0,2103.0,4357.0,0.483,682.0,1867.0,0.365,782.0,987.0,0.792,583.0,1651.0,2234.0,1360.0,721.0,420.0,263.0,271.0,868.0,872.0,5670.0,406.0,1,27,29,28,3,29,27,28,29,29,22,15,11,26,30,28,28,28,8,20,23,5,12,16,29,29
1610612752,New York Knicks,48,32,16,0.667,2314.0,1972.0,4212.0,0.468,651.0,1728.0,0.377,724.0,916.0,0.79,513.0,1460.0,1973.0,1221.0,682.0,323.0,236.0,185.0,915.0,820.0,5319.0,-338.0,1,4,5,5,3,24,22,18,25,12,30,7,5,25,17,2,4,14,16,2,16,28,23,25,17,5
1610612760,Oklahoma City Thunder,46,37,9,0.804,2208.0,1689.0,3914.0,0.432,578.0,1767.0,0.327,855.0,1117.0,0.765,557.0,1569.0,2126.0,1109.0,856.0,304.0,222.0,257.0,842.0,945.0,4811.0,-544.0,19,2,1,2,25,1,4,1,2,20,1,23,25,4,26,21,25,3,1,1,14,8,8,6,1,1
