SEASON_YEAR,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,Rolling_PTS_5,Rolling_MIN_5,Last_3_PTS_Avg,TS%,eFG%
2024-25,Mike Conley,MIN,Minnesota Timberwolves,MIN @ PHX,30.016666666666666,2,4,0.5,2,3,0.667,0,0,0.0,0,0,0,6,2,0,0,0,2,2,6,-4,2.0,1.4333333333333331,2.0,0.75,0.75
2024-25,Jarrett Allen,CLE,Cleveland Cavaliers,CLE @ MIA,29.2,5,7,0.714,0,0,0.0,2,2,1.0,2,8,10,1,1,2,0,0,0,1,12,20,1.0,2.716666666666667,1.0,0.7614213197969544,0.7142857142857143
2024-25,Miles McBride,NYK,New York Knicks,NYK vs. DEN,21.516666666666666,5,9,0.556,2,5,0.4,0,0,0.0,0,2,2,4,0,0,0,0,0,0,12,9,2.6666666666666665,3.6277777777777778,2.6666666666666665,0.6666666666666666,0.6666666666666666
2024-25,Bilal Coulibaly,WAS,Washington Wizards,WAS vs. TOR,25.101666666666667,1,6,0.167,1,4,0.25,5,6,0.833,1,1,2,1,4,1,0,0,2,3,8,-30,2.75,3.7583333333333337,3.0,0.4629629629629629,0.25
2024-25,Simone Fontecchio,DET,Detroit Pistons,DET @ IND,16.533333333333335,2,5,0.4,1,3,0.333,1,2,0.5,2,2,4,2,1,2,1,0,1,1,6,-5,6.0,19.433333333333334,6.0,0.5102040816326531,0.5
2024-25,DeAndre Jordan,DEN,Denver Nuggets,DEN @ NYK,8.433333333333334,1,2,0.5,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,0,1,2,2,0,4.0,18.035833333333333,4.0,0.5,0.5
2024-25,Bruce Brown,TOR,Toronto Raptors,TOR @ WAS,19.48,4,9,0.444,2,4,0.5,0,0,0.0,0,4,4,2,0,3,1,1,2,0,10,8,8.0,22.051666666666666,8.0,0.5555555555555556,0.5555555555555556
2024-25,Daniel Theis,NOP,New Orleans Pelicans,NOP vs. DAL,18.48333333333333,0,3,0.0,0,1,0.0,2,2,1.0,1,4,5,1,0,1,2,0,3,2,2,-16,7.5,22.72625,8.0,0.2577319587628866,0.0
2024-25,Aaron Nesmith,IND,Indiana Pacers,IND vs. DET,32.11333333333334,0,4,0.0,0,2,0.0,0,0,0.0,1,2,3,2,0,0,1,0,2,2,0,20,6.0,21.977666666666664,7.333333333333333,0.0,0.0
2024-25,Tyus Jones,PHX,Phoenix Suns,PHX vs. MIN,23.775,2,7,0.286,1,2,0.5,0,0,0.0,0,3,3,3,1,1,0,1,1,0,5,-9,7.6,23.04433333333333,6.666666666666667,0.35714285714285715,0.35714285714285715
