TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
1610612760,Oklahoma City Thunder,OKC,46,46,1.0,1689,3914,0.432,0.464,-0.032
1610612745,Houston Rockets,HOU,46,46,1.0,1818,4029,0.451,0.465,-0.014
1610612738,Boston Celtics,BOS,48,48,1.0,1947,4314,0.451,0.464,-0.013
1610612750,Minnesota Timberwolves,MIN,47,47,1.0,1879,4139,0.454,0.466,-0.012
1610612749,Milwaukee Bucks,MIL,45,45,1.0,1814,4044,0.449,0.461,-0.012
1610612746,LA Clippers,LAC,47,47,1.0,1825,4040,0.452,0.463,-0.012
1610612742,Dallas Mavericks,DAL,48,48,1.0,1980,4364,0.454,0.464,-0.011
1610612763,Memphis Grizzlies,MEM,47,47,1.0,1950,4323,0.451,0.461,-0.01
1610612744,Golden State Warriors,GSW,47,47,1.0,1901,4141,0.459,0.466,-0.007
1610612759,San Antonio Spurs,SAS,44,44,1.0,1892,4094,0.462,0.468,-0.005
1610612758,Sacramento Kings,SAC,47,47,1.0,1923,4150,0.463,0.465,-0.002
1610612766,Charlotte Hornets,CHA,43,43,1.0,1739,3756,0.463,0.465,-0.002
1610612739,Cleveland Cavaliers,CLE,47,47,1.0,1934,4206,0.46,0.461,-0.002
1610612748,Miami Heat,MIA,46,46,1.0,1904,4116,0.463,0.465,-0.002
1610612761,Toronto Raptors,TOR,47,47,1.0,1936,4131,0.469,0.468,0.0
1610612743,Denver Nuggets,DEN,47,47,1.0,2048,4400,0.465,0.466,0.0
1610612756,Phoenix Suns,PHX,46,46,1.0,1908,4115,0.464,0.463,0.001
1610612765,Detroit Pistons,DET,47,47,1.0,1926,4127,0.467,0.465,0.002
1610612753,Orlando Magic,ORL,48,48,1.0,1822,3858,0.472,0.467,0.005
1610612752,New York Knicks,NYK,48,48,1.0,1969,4203,0.468,0.461,0.008
1610612764,Washington Wizards,WAS,46,46,1.0,2029,4257,0.477,0.468,0.008
1610612757,Portland Trail Blazers,POR,47,47,1.0,1964,4144,0.474,0.465,0.009
1610612741,Chicago Bulls,CHI,48,48,1.0,2159,4581,0.471,0.463,0.009
1610612762,Utah Jazz,UTA,45,45,1.0,1959,4105,0.477,0.468,0.009
1610612737,Atlanta Hawks,ATL,47,47,1.0,2031,4267,0.476,0.466,0.01
1610612747,Los Angeles Lakers,LAL,44,44,1.0,1869,3940,0.474,0.465,0.01
1610612754,Indiana Pacers,IND,46,46,1.0,1932,4086,0.473,0.461,0.012
1610612740,New Orleans Pelicans,NOP,48,48,1.0,2103,4357,0.483,0.467,0.016
1610612751,Brooklyn Nets,BKN,48,48,1.0,1948,4014,0.485,0.469,0.017
1610612755,Philadelphia 76ers,PHI,46,46,1.0,1880,3869,0.486,0.465,0.02
