SEASON_YEAR,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
2024-25,Mike Conley,MIN,Minnesota Timberwolves,MIN @ PHX,30.016666666666666,2,4,0.5,2,3,0.667,0,0,0.0,0,0,0,6,2,0,0,0,2,2,6,-4
2024-25,Jarrett Allen,CLE,Cleveland Cavaliers,CLE @ MIA,29.2,5,7,0.714,0,0,0.0,2,2,1.0,2,8,10,1,1,2,0,0,0,1,12,20
2024-25,Miles McBride,NYK,New York Knicks,NYK vs. DEN,21.516666666666666,5,9,0.556,2,5,0.4,0,0,0.0,0,2,2,4,0,0,0,0,0,0,12,9
2024-25,Bilal Coulibaly,WAS,Washington Wizards,WAS vs. TOR,25.101666666666667,1,6,0.167,1,4,0.25,5,6,0.833,1,1,2,1,4,1,0,0,2,3,8,-30
2024-25,Simone Fontecchio,DET,Detroit Pistons,DET @ IND,16.533333333333335,2,5,0.4,1,3,0.333,1,2,0.5,2,2,4,2,1,2,1,0,1,1,6,-5
2024-25,DeAndre Jordan,DEN,Denver Nuggets,DEN @ NYK,8.433333333333334,1,2,0.5,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,0,1,2,2,0
2024-25,Bruce Brown,TOR,Toronto Raptors,TOR @ WAS,19.48,4,9,0.444,2,4,0.5,0,0,0.0,0,4,4,2,0,3,1,1,2,0,10,8
2024-25,Daniel Theis,NOP,New Orleans Pelicans,NOP vs. DAL,18.48333333333333,0,3,0.0,0,1,0.0,2,2,1.0,1,4,5,1,0,1,2,0,3,2,2,-16
2024-25,Aaron Nesmith,IND,Indiana Pacers,IND vs. DET,32.11333333333334,0,4,0.0,0,2,0.0,0,0,0.0,1,2,3,2,0,0,1,0,2,2,0,20
2024-25,Tyus Jones,PHX,Phoenix Suns,PHX vs. MIN,23.775,2,7,0.286,1,2,0.5,0,0,0.0,0,3,3,3,1,1,0,1,1,0,5,-9
2024-25,Quentin Grimes,DAL,Dallas Mavericks,DAL @ NOP,20.316666666666663,6,8,0.75,3,5,0.6,2,2,1.0,0,1,1,0,2,3,0,0,3,1,17,5
2024-25,Payton Pritchard,BOS,Boston Celtics,BOS vs. CHI,34.21666666666667,4,6,0.667,2,3,0.667,0,0,0.0,0,2,2,7,1,2,1,0,1,0,10,13
2024-25,Lonzo Ball,CHI,Chicago Bulls,CHI @ BOS,23.19,2,8,0.25,2,6,0.333,3,3,1.0,2,1,3,4,3,1,0,0,1,1,9,-8
2024-25,Scottie Barnes,TOR,Toronto Raptors,TOR @ WAS,28.95,10,19,0.526,1,4,0.25,3,3,1.0,1,3,4,4,1,1,1,0,4,5,24,24
2024-25,Keldon Johnson,SAS,San Antonio Spurs,SAS vs. LAC,25.0,4,9,0.444,1,3,0.333,0,1,0.0,1,1,2,1,1,1,0,0,3,1,9,-6
2024-25,Ziaire Williams,BKN,Brooklyn Nets,BKN @ CHA,32.85,5,10,0.5,3,6,0.5,0,0,0.0,0,3,3,3,0,2,0,1,1,1,13,15
2024-25,Craig Porter Jr.,CLE,Cleveland Cavaliers,CLE @ MIA,21.03333333333333,4,7,0.571,1,2,0.5,0,0,0.0,1,3,4,2,1,1,1,1,1,0,9,5
2024-25,Isaiah Wong,CHA,Charlotte Hornets,CHA vs. BKN,18.69,2,6,0.333,2,3,0.667,2,2,1.0,1,1,2,0,1,1,0,0,0,1,8,-2
2024-25,Bub Carrington,WAS,Washington Wizards,WAS vs. TOR,22.78333333333333,1,4,0.25,1,3,0.333,0,0,0.0,1,1,2,1,2,0,0,1,0,1,3,-10
2024-25,Jose Alvarado,NOP,New Orleans Pelicans,NOP vs. DAL,15.231666666666667,4,5,0.8,3,4,0.75,0,0,0.0,0,0,0,3,2,1,0,0,3,0,11,-5
2024-25,D'Angelo Russell,BKN,Brooklyn Nets,BKN @ CHA,21.506666666666668,3,8,0.375,0,5,0.0,0,0,0.0,2,5,7,7,2,2,1,0,1,2,6,16
2024-25,Nikola Jović,MIA,Miami Heat,MIA vs. CLE,28.95,5,11,0.455,1,5,0.2,0,0,0.0,2,1,3,5,1,0,0,0,0,0,11,-7
2024-25,Jalen Smith,CHI,Chicago Bulls,CHI @ BOS,23.133333333333333,3,10,0.3,1,5,0.2,2,2,1.0,3,8,11,1,1,0,3,0,0,3,9,-9
2024-25,Rudy Gobert,MIN,Minnesota Timberwolves,MIN @ PHX,33.58166666666666,2,5,0.4,0,0,0.0,0,0,0.0,0,5,5,1,1,1,2,1,3,1,4,9
2024-25,Terry Rozier,MIA,Miami Heat,MIA vs. CLE,33.15833333333333,8,13,0.615,2,6,0.333,4,4,1.0,0,4,4,4,2,1,0,0,0,3,22,-10
2024-25,Derrick White,BOS,Boston Celtics,BOS vs. CHI,39.82333333333333,7,14,0.5,4,10,0.4,4,4,1.0,0,1,1,5,0,0,1,1,1,2,22,19
2024-25,Keon Ellis,SAC,Sacramento Kings,SAC @ PHI,17.733333333333334,2,10,0.2,2,9,0.222,0,0,0.0,1,2,3,2,1,1,0,0,3,0,6,-6
2024-25,Julian Phillips,CHI,Chicago Bulls,CHI @ BOS,10.9,2,5,0.4,1,4,0.25,0,0,0.0,0,0,0,0,0,0,0,0,1,0,5,2
2024-25,Christian Braun,DEN,Denver Nuggets,DEN @ NYK,28.85,4,8,0.5,1,2,0.5,4,4,1.0,2,3,5,1,1,0,0,0,2,2,13,-18
2024-25,Matas Buzelis,CHI,Chicago Bulls,CHI @ BOS,21.566666666666663,4,6,0.667,2,4,0.5,2,2,1.0,0,4,4,0,0,0,1,0,5,1,12,-10
2024-25,Grayson Allen,PHX,Phoenix Suns,PHX vs. MIN,28.836666666666662,4,7,0.571,3,6,0.5,0,0,0.0,2,5,7,1,2,1,1,1,2,0,11,-2
2024-25,Nikola Jokić,DEN,Denver Nuggets,DEN @ NYK,33.43333333333333,6,15,0.4,3,7,0.429,2,2,1.0,0,6,6,6,2,2,1,0,3,3,17,-3
2024-25,Dalen Terry,CHI,Chicago Bulls,CHI @ BOS,12.963333333333331,1,4,0.25,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,1,3,1,2,-9
2024-25,Corey Kispert,WAS,Washington Wizards,WAS vs. TOR,23.731666666666666,4,11,0.364,0,5,0.0,0,0,0.0,0,1,1,0,1,2,1,1,2,0,8,-4
2024-25,Cason Wallace,OKC,Oklahoma City Thunder,OKC @ GSW,25.925,1,5,0.2,0,3,0.0,0,0,0.0,1,2,3,2,2,3,1,0,2,0,2,-8
2024-25,Patrick Baldwin Jr.,WAS,Washington Wizards,WAS vs. TOR,6.25,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,1,2,1,0,0,0,0,0,5
2024-25,Ochai Agbaji,TOR,Toronto Raptors,TOR @ WAS,23.75,4,8,0.5,3,7,0.429,1,2,0.5,0,3,3,1,2,3,1,0,1,1,12,13
2024-25,Brandin Podziemski,GSW,Golden State Warriors,GSW vs. OKC,18.141666666666666,4,6,0.667,1,3,0.333,2,2,1.0,1,3,4,3,0,0,0,0,1,1,11,1
2024-25,Kevin Huerter,SAC,Sacramento Kings,SAC @ PHI,9.983333333333333,2,5,0.4,1,4,0.25,0,0,0.0,0,0,0,1,0,0,0,0,0,0,5,-10
2024-25,Chris Boucher,TOR,Toronto Raptors,TOR @ WAS,15.253333333333334,1,2,0.5,1,2,0.5,0,0,0.0,0,2,2,0,2,0,0,0,4,1,3,0
2024-25,Royce O'Neale,PHX,Phoenix Suns,PHX vs. MIN,31.69,2,8,0.25,0,4,0.0,0,0,0.0,1,4,5,1,0,2,0,2,4,0,4,-10
2024-25,Jaden Springer,BOS,Boston Celtics,BOS vs. CHI,19.966666666666665,1,3,0.333,1,2,0.5,1,2,0.5,0,5,5,2,1,2,1,1,1,1,4,0
2024-25,Pelle Larsson,MIA,Miami Heat,MIA vs. CLE,13.833333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,2,0,1,0,0,0,1,0,-1
2024-25,Jamal Shead,TOR,Toronto Raptors,TOR @ WAS,21.016666666666666,3,5,0.6,1,2,0.5,3,3,1.0,1,1,2,4,1,1,0,0,1,3,10,0
2024-25,Jrue Holiday,BOS,Boston Celtics,BOS vs. CHI,22.523333333333333,3,9,0.333,0,4,0.0,0,0,0.0,4,3,7,3,2,1,0,1,1,0,6,15
2024-25,Justin Champagnie,WAS,Washington Wizards,WAS vs. TOR,14.716666666666669,5,7,0.714,1,3,0.333,1,2,0.5,0,6,6,1,2,2,2,0,2,1,12,6
2024-25,Derrick Jones Jr.,LAC,LA Clippers,LAC @ SAS,32.5,3,9,0.333,1,2,0.5,0,0,0.0,4,3,7,1,0,2,0,1,2,0,7,17
2024-25,Jaylen Clark,MIN,Minnesota Timberwolves,MIN @ PHX,10.1,1,3,0.333,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,1,1,0,2,9
